id,title,employer,salary,gender,years_exp,Location,duties,comments
666,Video Production Manager,USA Today/Reviewed,"62,000 (in 2018)",cis white male,10,Boston,"Manage media team; produce, shoot, edit video; oversee media scheduling; develop photo/video strategy","45,000 (staff writer/video producer in 2008); 55,000 (video manager in 2014); left media industry in 2018"
663,Senior Video Producer,USA Today/Reviewed,"$50,000 ",cis-het white male,10+ years,Boston,"Shooting, editing, posting and managing video library and equipment","$25k - Production asst/Part time editor @ Gannett/WZZM13 Aug 2007
$30k - Videographer and 6pm/11pm news editor @ Gannett/WZZM13 2009
$40k - Video produer starting salary @ Gannett/Reviewed Nov 2011"
664,Editor,USA Today/Reviewed,"$50,500 ",cis white woman,2+,Boston,"Editing features and reviews, assigning articles, content planning, writing, testing",N/A
42,Staff Writer,BostInno (American Inno),"45,000",white cisgender woman,3,"Boston, MA",Report and write articles and daily newsletter. Edit articles. Write and edit social media copy. Manage interns. Field internship candidates. Speak at events and moderate panels.,"Permalance fact-checker: $23.50/hr. Editorial fellow: stipend of about $2,400/mo. Metro correspondent: about $12-13/hr."
657,Editorial Production Assistant,University,"$48,000 ",Cis woman/East Asian,2,"Boston, MA","University calendar management, story production (layout, copy editing, photo selection, SEO headlines, heds/deks/summaries) via Wordpress, newsletter assembly (as needed), occasional writing/reporting, managing additional side projects (as needed)","2.5 years of post-college experience; 3.5 years of in-college experience
First ""real job"" post-college: Digital content coordinator (~$35,000/yr)
Current side gig: Freelancer for various publications ($600-$800/article) 
In between graduation and first job: Freelancer for Gatehouse media (~$50/article)
In college: Contributing writer ($50-$75/article)"
106,Managing Editor,Colossal,"$54,500 ","Female, white",8,Brooklyn,"Running the entire company in addition to pitching and writing 3 articles a day, social media 12x a day, curating half the site, managing freelancers, lead on all marketing and special project management.",
218,Staff Writer,Genius,"60,000",Male / Asian-American,4.5,"Brooklyn, NY",,
279,Editorial Assistant,Hyperallergic,"$50,000 ",Female/Arab,3,"Brooklyn, NY","Edited and assigned articles; manages article workflow; wrote event picks, news briefs, reviews, etc; prepared and edited email newsletters; managed and maintained Hyperallergic’s Twitter and Instagram; vetted article submissions via Submittable; maintain professional correspondence with publisher, editors, writers, etc.; kept track of article deadlines and calendar; put together monthly and seasonal art guides","I started at $48,000, was promised $52,000 after three months, but it only went up to $50,000 after six months, and then five months later I was laid off."
466,Managing Editor,powerHouse Books,"$54,000 ",CIS White Male,12,"Brooklyn, NY","Oversee production, traffic digital and physical materials, vet and acquire new titles, copyedit all titles, oversee designers, interns, broader editorial and creative direction, more...","Starting salary around $26,000 in 2009"
672,Senior Staff Writer,VICE,"$80,000 ",white woman,8,"Brooklyn, NY","daily blogging, features reporting","Staff Writer ($65,000), Freelance Contributor ($250/day), Staff Reporter ($62,000), Assistant Editor ($25/hour with 1.5x overtime), Copywriter ($35,000)"
459,Reporter,Politico,"$100,000 ","Male, white",12,Brussels,"lead writer, scoops, features, podcasts","started on $20,000 on an industry newsletter"
270,Assignment Editor,HuffPost,"80,000",Female/Middle Eastern,6,CA,Help manage breaking news team. Assign and edit articles.,Reporter / DC / 80k; Reporter / LA / 65k; Fellow / LA / 50k
641,Reporter + Photographer,Toronto Star,"$44,000 (Canadian)",white cishet male,2,"Calgary, Alberta","- general assignment reporting as well as beat coverage
- photography",
13,Senior producer,AJ+,85000,,10,California,,
758,Senior producer,AJ+,85000,,10,California,,
315,Reporter,Lee Enterprises,"37,500",white cishet f,1,California,"reporting, pitching, writing, some social media curation, etc","Contributor (100-200 per article), PT Ed. assistant $15/hr"
331,Reporter,MediaNews Group,45000,Asian,2,California,"Daily beat reporting, covering government agencies",32000 - Reporter in Indiana
474,Reporter,Quartz,"$79,000 ",cis-het white male,10 years,California,"Reporting, writing, the usual.",varied
24,Managing Editor,"Association of Health Care Journalists (please note that the already-listed ""digital coordinator"" is not a position that exists with AHCJ.)","$52,000 ",Cis female,20,California,"Manage website content, including daily updates; supervise nine freelance journalists; assign and edit pieces about health care; compile daily enewsletter; engage with members on social media; track website traffic and interest via metrics; produce conference programs and other printed material.","$33,000/publication coordinator/IRE & NICAR; $38,000/online producer/Sun-Sentinel"
494,Senior Writer,Reviewed,42.5k,white cis male,8,Cambridge,,"Managing Editor / Project Manager — 62.5k
Left the industry for a few years to pursue a different career, but returned."
276,Associate Editor,HuffPost,"$44,000 CAD",cis white woman,3,Canada,"reporting original stories, packaging wire content, social development","editor, reporter, freelance writer"
272,Multimedia Producer,HuffPost,"55,000",Trans non-binary (AFAB),4,Canada,"editing, writing, audio recording and production, multimedia creation","editor, op-ed columnist, copywriter, MC, freelancer"
499,Senior Reporter,S&P,"49,000",Male,10,Canada,"Features, daily","45,000"
577,Reporter,The Gazette,"$41,000 ",cis-het white female,6,"Cedar Rapids, Iowa",Reporting and writing,"Editor for online publication, $40,000"
510,Reporter,Santa Fe New Mexican,"$35,300 ",Cis-bi white woman,4,New Mexico,"General assignment, watchdogging multiple beats, photographer","Unpaid intern in four newsrooms
News editor at the school paper: $4 an edit, $20 an article 
Part-time Copy editor for $17 an hour at the New Mexican"
326,Reporter,McClatchy,"$47,000 ",cis white female,5,California,"reporting, writing, some engagement work,","-2015, $35k, smaller McClatchy paper as a reporter 
-2014, $25k, tiny weekly paper as reporter, photog, page design"
301,Reporter,Landmark Community News,$10/hour,White,1,Kentucky,"General assignment reporter and photographer covering breaking news, education, local politics and pretty much anything else. I do page layout, also, and I'm in charge of obituaries and the community calendar.",N/A
512,Staff reporter,Schurz Communications Inc.,$12/hour (2012),cis white female,2,Kentucky,"Reported on anything and everything: local government, breaking news, features, op/eds, columns. Took pictures, managed web uploads and social media accounts, produced short videos.",
108,Reporter,Community Media Group,"$28,000 ",cis-het white male,entry level,PA,"Covering borough council, school boards, crime, fundraisers. Quota of four stories each day (lol)","Internship at a daily newspaper, student newspaper experience."
601,Reporter,The Post and Courier,"$39,500 ",cis white female,3,Charleston,News reporter,Started at $35k
600,reporter,The Post And Courier,"$33/hour, target 45 hours per pay period",cis white male,10,Charleston SC,"pitching, reporting, writing","All NYC: coordinating producer, 100,000; producer, $85k; senior writer, $72k; staff writer; $60k; editorial assistant $37k"
85,Photojournalist,Chattanooga Times Free Press,"35,000",cis white male,9,"Chattanooga, Tennessee","Photograph news, produce video, photograph for publication's magazines.","Hired at 30,000, raise to 35,000 after four years, previously 26,000 as photojournalist at Texarkana Gazette."
734,News Editor,Wyoming Tribune Eagle,"36,000",Cis White Male,3,"Cheyenne, Wyoming",Oversee the copy desk. Lead team to produce daily newspaper and special publications.,
86,Reporter,Chicago Tribune,"48,000",cis-het white female,6,Chicago,"Cover a major beat; pitch, report and write breaking and enterprise stories","41,000, police/courts reporter in large midwest suburban area"
350,Associate Editor,Monthly Music Trade Pub,"37,000 + Bonus",Cis White Male,1,Chicago,,
388,Editor,Newsy,"63,000",cis woman of color,15,Chicago,copyediting,
393,Investigative Reporter,Nonprofit,"$60,000 ",cis white female,3,Chicago,"Report and write investigative stories, shoot photo/video, data analysis",
442,Engagement editor,Online nonprofit,"45,000",cis POC female,2,Chicago,"Manage social accounts and build strategy, audience-driven reporting, work on engagement strategy for stories",First job out of undergrad. Have not received a merit raise.
561,Data journalist,The Associated Press,"$100,800 ",Multiracial cis male,8,Chicago,"Data analysis, web development, R&D","$86,000 starting in 2015; $80,000 developing interactives at The Chronicle of Higher Education until 2015; $60,000 developing interactives at PBS NewsHour until 2013"
596,Editor,The Onion,"34,000",cis white male,4,Chicago,"Wrote and edited local entertainment features, columns and hundreds of concert previews for The Onion's weekly print edition and daily A.V. Club website, building a distinct local voice and audience for a national media outlet.
Led editorial expansion from a weekly print section to a daily local arts website.
Managed Twitter and Facebook accounts and weekly email newsletters.
Worked with freelance writers, photographers, an assistant editor, and interns to meet daily and weekly story deadlines and maintain an online events calendar.",
598,Video Senior Producer,The Onion,65000,Cis white male,5,Chicago,"Produce, direct, oversee video production for publications",
651,Homepage/social media editor,Tribune Publishing -- Chicago Tribune,"$51,000 ",Male / White,8,Chicago,"Edit homepage, post on institutional social accounts, cover breaking news, work with reporting teams to prepare projects for online success",
519,Copy Editor,Shaw Media,37000,cis white female,10,Chicago suburbs,"Laying out newspaper pages, editing articles, posting to web, writing headlines, editing and choosing photos, putting together photo galleries, editing and choosing wire stories, managing and training other copy editors, occasionally writing, reporting and shooting videos","$27,900/Copy editor/paginator/Digital First Media in Ohio
$28,000/Copy editor/paginator/Gannett in Ohio"
387,Reporter,Newsy,"$49,108.80 ",Cis Female / Asian American,5,"Chicago, IL","Beat Reporting, Video Editing, On-Air Anchoring/Voice-Overs.","Freelance Photographer/Videographer (< $20,000), General Assignment Reporter ($32,000)"
597,"Project Manager, Art Department",The Onion,"55,000.08",Cis White Female,4,"Chicago, IL","managing workload of GFX team and distributing assignments, communicating between departments, general team admin, maintain props, facilitate work of our art director","When I started at the onion I was a art department project coordinator making 45k (negotiated up from 40k). A year in, I was given the title of project manager and raised to 50k. At the start of this year, our union contract raised me to 55k."
148,Reporter,Digital First Media,$16.25/hr,Female/White,10,Chico,City reporter. Often required to take my own photos.,"Previously: Regional business magazine associate editor at $22/hr, Currently freelancing for $50-100+ an article/.50-.60 cents per word."
149,Page designer,Digital First Media,"38,000",Cis white female,7,Colorado,Page design and copy editing for multiple publications,
451,Local editor,Patch.com,"$48,000/year",cis female/white,10,Colorado,Daily content for 9 hyperlocal sites,"$40,000/year local reporter/Chronicle Illinois/Illinois
$28,000/year local reporter/Wednesday Journal Inc./Illinois
$155/day writer United Press International"
545,Reporter,Swift Communications,17.75/hr for estimated gross of $39000,mixed race cis woman,2,Colorado,"Cover local government, environment",$15 an hour at similar role in another Swift paper
409,Digital News Editor,NPR Affiliate,"$37,000 ",Male / White,3,Columbus,"Editing and producing digital news content, reporting breaking news online, managing social media, photography, occasional radio reporting",
571,Features reporter,The Columbus Dispatch,"42,000",White cis hetero woman,3,"Columbus, Ohio","Researching, writing, editing, was appointed to several committees, ran a concert series in the summer","Started at 41,000"
580,Senior Editor,The Hechinger Report,"$72,000 ",hetero woman of color,13,Company is in New York but I work remotely,"Write weekly newsletter and long features, plus some project management","Reporting, editing and producing; I started that role making $60,00"
708,University Photographer,Western Carolina University,"34,000",Female/White,4,"Cullowhee, NC","Photographing events, sports, portraits, photo stories, PA for video, some video, editorial work, etc.","Part time- $15 per hour 
Freelance- $250.00- $650.00/ Day rate"
581,reporter,the hill,"$50,000 ",white male,2,d.c.,"cover a beat, mostly centered on capitol hill",
18,Reporter,American City Business Journals,"56,000",cis poc male,3,DC,writer,local reporter
35,Legal reporter,Bloomberg Law,"$59,000 ",cis white man,"4 years in journalism, plus law degree",DC,"Reporting from court filings, attending court hearings, interviewing litigants and attorneys in cases, as well as other legal experts",
169,Staff Writer/Associate Editor,FCW/1105 Media Inc.,"$48,000 ",GNC white AFAB,1,DC,Writing/Reporting/Editing,
288,Reporter,Inside Higher E,"$52,000 ",Het-cis white female,3,DC,Write 3-5 stories per week,About $35-40k at previous two print papers
289,Reporter,Inside Higher Ed,"52,000",White cis female,3,DC,Cover nontraditional students (3-5 stories per week),"Two previous reporting positions at about $37,000 each"
400,Assistant Producer,NPR,"$70,000 ",Cis white queer female,1,DC,"Strategy for emerging news experiences - includes expertise in tech and media, audio production, journalism and tech ethics, etc.","Intern x4, from $0-13.50"
397,Editor,NPR,$105k,cis white man,4,DC,audio side,
401,Data journalist,NPR,"$103,000 ",male/white,5,DC,"Analyze data, write stories for npr.org, create data visualiziations",Staring salary: ~$90k (minimum for union band Editor I)
454,Digital producer,Pew Research Center,~60000 after tax,Cis white woman,5,DC,Manage digital production + more for a key and valuable project.,
461,reporter,Politico,"70,000",male/bi-racial,7,DC,daily reporting,"53,000 at previous magazine"
513,Audience Engagement Editor,Science News,"$61,400 ",Cis-het white male,5,DC,"Social media, web analytics, newsletter production, reader feedback management, editorial-side audience strategy",
569,Reporter,The Chronicle of Higher Education,"$72,000 ",Cis white female,5,DC,Reporting,
626,Social media,The Washington Post,75K,POC male,4,DC,Social and breaking news,
655,Reporter,U.S. News,"$54,000 ",Cis white female,3,DC,Reporting a mix of daily news and enterprise stories,starting salary is $48k
684,staff writer,Vox Media,"93,000",cis bi POC woman,14,DC,writing,
680,Audience,Vox Media,"$67,000 ",cis POC woman,3 years,DC,"build audience, social strategy, etc.",
691,Senior Correspondent,Vox.com,"$113,300 ",cis-bi white male,7 yrs,DC,"just writing, mostly politics; longform and shorter week-to-week posts",
700,Producer,WAMU,"$67,000 ",white cis female,3,DC,"pitching ideas, booking guests, writing scripts, interviewing, recording field audio, editing and mixing audio, managing audience engagement","media internship x4: $0-$12.50/hr, no benefits
unpaid freelancer
freelance producer: $30/hr, no benefits
freelance producer: $20/hr, no benefits
part-time producer: $30/hr, no benefits
full-time temp producer: $32/hr, benefits"
702,Staff writer,Washington Post,"150,000",POC Cis Male,13,DC,,
739,News Applications Developer,,70000,cis white female,1,DC,"visualizations, interactives, data analysis, web development","Started at 65,000"
744,Story Editor,,"$87,980 ",cis POC female,2.5,DC,"Assigning and editing stories (including developmental and line edits), primarily responsible for two reporters on my team",Associate editor: $70K
595,Reporter,The News Journal,"$56,100 ","Cis female, white",4,Delaware,Enterprise/watchdog reporting,"$33,000 at small daily newspaper"
158,MMJ,Draper Media,"$35,000 ",White Male,1,Delmarva,"Write, shoot, edit all my own stuff and hit a 5pm deadline everyday","Production Assistant at Fox in Philly, hourly pay part time"
573,Digital Strategist,The Denver Post,"$45,000 ",cis white women,2,Denver,"Social media, website management, production, analytics, engagement, etc.",
574,Digital Strategist,The Denver Post,"53,000",White cis lesbian,3,Denver,Produce and grow the audience of a separate entertainment and outdoors site,"General assignment reporter - 43,000 after 2 years"
105,DIgital Producer,Colorado Public Radio,"$41,600 ",queer cis white woman,3,"Denver, CO",Produce stories for web. Edit and rewrite radio scripts for digital copy. Take and edit photos. Create graphics. Manage homepage. Schedule social. Write breaking news/weather/etc briefs.,"YourHub local news reporter @ Denver Post - $30,000"
104,Reporter,Colorado Public Radio,"$55,000 ",Bi Cis Latina,5,"Denver, CO","Gather and report news, produce stories",$39k at smaller NPR affiliate; $31k at a biz journal.
195,visual producer,gannett,"35,000",WOC,2,des moines ia,"filming, photographing, video editing, photo editing, video producing, interviewing, reporting","interning, freelancing"
147,Digital Producer,Detroit Free Press,"$42,000 ",Cis-het woman / Black,2,Detroit,"Social Media Management, Homepage management, editing, writing, engagement",intern NYT $30/HR
11,Reporter,Advance Local,"82,000",cishet white male,9,East Coast,Reporting and editing,"Entry-level web producer at 35K, reporter at $50K"
496,News Editor,Rio Grande SUN,"37,000",White,4,"Española, New Mexico","Reporting, editing and paginating news stories and features. Managing a team of six reporters",
497,News Editor,Rio Grande SUN,"37,000",Cishet white male,4,"Española, New Mexico","Reporting, editing and paginating news stories and features. Managing a team of six reporters",
654,Editor in Chief,TripAdvisor Media Company,"110,000",Female,15,"Ewing, NJ","editing, writing, management team",
14,Head of Engagement/Staffing,Alpha Creek Studio inc.,175k yr,Male,4,Florida,"To provide, staff, and oversee Journalist to multiple articles given by third party company for small to large projects",50k/Journalist/George
419,Reporter,NPR Member Station,"50,000",cis white woman,5,Florida,,
50,Reporter,Business journal in Colorado (can't disclose because it's too easy to track down),"$40,000 per year",White cis male,3,Fort Collins/Boulder,Reporting for daily online issue (2-5 stories per day) and monthly print edition (1-2 longforms per month),"2 newspapers in Iowa over 3 years- $27.5K for 2 years, $37k for 1 year"
151,Executive Producer,Disney,"$77,000 ",Straight Female,6,"Fresno, CA",,
576,Student Writer/Intern,The Fresno Bee,$12/hr,Female,3,"Fresno, California","crime, breaking news, general assignment",
188,Reporter,Galveston County Daily News/Southern Newspapers Inc,"31,000",Male/White,8,Galveston,"Writing, interviewing, planning for stories, responsible for writing at least one but typically 2-4 articles and briefs every day.",
727,Lead Editor,Wirecutter/NYT,"$85,500 ",cis white male,"14 in journalism of some sort, 11 sole source of income, 5 of editing specifically",Greater LA area,"-Section planning and assignments
-regular check-ins with writers during research/testing/writing
-multiple rounds of draft editing with writer
-multiple rounds of editing with sr editor
-final edits from copyedit/production
-weekly writer check-ins
-mentorship","Hired at essentially same role in 2014 for 78k, freelance prior"
726,Assistant Updates Editor,Wirecutter/NYT,"$62,000 ",cis white female,3 years of journalism experience prior to being hired as an updates writer,Greater NYC area,"-Edit copy for all sections from updates writers and writers/editors across the company
-Assist updates editor with maintaining work flows and formulating long-term updates strategy
-Do rewrites when necessary, including testing products
-Pitch and write new guides and blogs
-Train and mentor updates writers
-Write updates
-Load changes in the CMS
-Assist with writing and editing blogs during shopping holidays like Prime Day, Cyber Week and Wirecutter Deal Day","-54,000 news assistant at NYT newsroom
-55,000 updates writer"
650,Reporter,Tribune Publishing,"$33,500 ","white, bi, cis man",2,"Hampton Roads, Virginia",General assignment reporter with a 5-days-a-week cops shift.,Entry-level job. Non-journalism bachelor's degree & editor-in-chief of major state college newspaper. Previously intern ($10/hr).
265,"Podcast producer, audio reporter",Honolulu Civil Beat,"$55,000 with 240 hours of PTO, 6% 401k matching, yearly 3% raise, comprehensive and affordable health care","White, Female, Queer",3,"Honolulu, Hawaii","Report, host and produce bi-weekly science podcast. Part of a 4-person team producing and reporting long-form investigative podcast.","~$43K at NPR member station, Morning Edition producer."
221,Digital Producer,Graham Media,"57,500",Indian female,5,Houston,"Reporting for digital stories, social media","Digital Producer / 50,000"
231,Fellow,Hearst,"$40,000 ",cis woman PoC,1,Houston,"Reporting twice weekly column, podcasting, contributing monthly features","$52,000 at the San Francisco Chronicle (same fellowship)"
238,Reporter,Hearst,"40,800",Cis white male,6,Houston,"Write stories, shoot and edit video, build slideshows","Reporter, $26K, $30K"
267,Business Reporter,Houston Chronicle,"$42,000 ",cis white male,14,Houston,"Research, reporting, writing, social media, some editing",
500,Associate Editor,Sagacity Media,"$40,000 ",Cis white male,3,Houston,"-edit/contribute 8 blogs per week
-report FOB section
-longform
-edit/contribute to cover packages/service features
-breaking news as needed",n/a (first job)
536,Reporter,Sports Business Journal,"$78,500 ",Male/Asian,7,Houston,Reports on the business of sports,"$28,500-Reporter (Galveston Daily News), $33,000 County/City Gov Reporter (Victoria Advocate), $45,000 (Real Estate Reporter at S&P Global Market Intelligence) $78,500 (Houston Correspondent at Bloomberg Law)"
645,Senior Editor,Trade Magazine,65000,Male,20,"Houston, Texas","Daily reporting, international travel, advertising sales support","$80,000 Editor-in-Chief"
233,Fellow,Hearst,"$40,000 ",CIS female white,6,"Houston, TX",General assignment reporter,"$36,000/Reporter"
584,Data Journalist,The Houston Chronicle (Hearst Newspapers),60000,Female (cis)/ White,3,"Houston, TX","request and analyze data, build web applications and interactives, report and write","previously hired at 50k in Dallas, TX as a Data Journalist. After nearly two years left at $53k."
579,Reporter,The Hechinger Report,"$70,000 ",female/white,10,HQ in NYC,"Education reporting, some editing and management duties","$55,000/Reporter | various/freelancer | $13 per hour/intern | unpaid intern (school credit)"
328,Reporter,McClatchy,"42,000",Cis white woman,1,Idaho,"Beat reporting, writing",
210,Staff Photographer,Gannett/USA Today,"$40,000 ",Cis white woman,5,Indiana,produce photos and video for the daily newspaper,"$29,500/Staff photographer/West Virginia newspaper"
307,Staff Writer,Lee Enterprises,"$33,000 ",cis white female,12+,Iowa,"writing, editing, photography, videography, social media",
338,Editorial assistant,Meredith,"$17/hr (~$35,000)",cis white female,1,Iowa,,"This position started as entry level at $15/hr (~$31,000)."
298,Reporter,KPC Media,$27k,cis white woman,2,"Kendallville, Indiana","Find story ideas, report, edit, dummy pages for weekly paper, photos","last job was $29k as a reporter at Chronicle-Tribune in Marion, IN"
194,Print planning producer,Gannett,"$40,000 ",Cis-het white woman,2.5,Kentucky,"Plan daily newspaper, copy edit, check headlines, some web producing","Part-time at metro daily in Florida while in school ($14/hour), intern at LA Times ($15/hour)"
203,Reporter,Gannett,"$39,000 ",cis white woman,3,Kentucky,"Beat reporter for a local newspaper, covering local government","Hired as breaking news reporter at $35,000."
209,General Assignment Reporter (Features),Gannett/USA Today,"35,000",White female,1,Kentucky,,
58,Reporter,BuzzFeed,"$71,000 ",,10 years full-time in journalism,LA,#NAME?,
305,Legal Reporter (Courts Coverage),Law360,"$68,000 ",Cis White Female,5,LA,"Cover 1-2 court hearings a day, sometimes jury trials, other times reporting on documents","$28,000 to $34,000 reporter at local newspapers"
367,digital journalist/editor,NBC Universal,"95,000",cis WOC,10,LA,"Write enterprise stories, copy edit myself, assign out to freelancers, post to social media","$33,000 - local TV news producer, mid-market // $52,000 - local TV news digital director // $75,000 - local TV news senior digital reporter/editor, Top 10 market"
485,Senior Editor,Refinery29,"92,000",cis white female,8,LA,,
673,Senior Editor,VICE,"92,000",cis white man,9,LA,writing and editing stories from blogs to features,"started as a ""part time"" (lol) assistant making 23k in 2010"
694,Staff Writer,Wall Street Journal,"$85,000 ",POC female,7 years experience,LA,"writing, editing","Reporter at LA Times
$85,000 - 2018
$65,000 - 2015
$57,000 - 2014"
207,Reporter,Gannett,"$40,800 ",cis white male,3,LA metro area,"Write articles for print and online, pitch story ideas, occasionally shoot photos/video to accompany pieces.",Worked part-time on weekends for $15/hr
302,Photographer,Las Vegas Review Journal,"$47,000 ",White male,25,Las Vegas,"General assignment photography, some video shooting",
303,GA Reporter,Las Vegas Sun,"40,000",Cis white woman,2,Las Vegas,Report on county government and other local news,"Associate Editor (36,000) Copy Editor (30,000)"
348,Business Channel Director,MJH Life Sciences,"$62,000 ",White,20,"Lenexa, Kansas","Editing, writing, programming events",
755,Business Channel Director,MJH Life Sciences,"$62,000 ",White,20,"Lenexa, Kansas","Editing, writing, programming events",
41,Reporter,Bloomberg News,"$45,000 ",CIS Male,2,London,graduated from internship to join one of the desks,
389,Magazine editor,non-profit consumer organisation,"£59,000",white woman,30,London,"Sole responsibility for technology print magazine with lots of subscribers, plus ownership of some web content",Many national newspapers plus experience of leading/creating content for corporates
588,Staff writer,The New Arab,"UK £23,000 ($29,537)",Cis White Female,1.5,"London, UK",,Freelancer
383,Multimedia Producer,Newsday,65000,"Cis, bi female",4,"Long Island, New York","Photographer, videographer, video editing",
97,Field Producer,CNN,"110,000",Latinx Female,8,Los Angeles,"Producing live reports, pkgs, writing","Associate Producer, CNN NY: 66k + ~40k in OT 
Researcher, CNN Atlanta: 55k + ~20k in OT"
173,Staff Editor,Future plc company,"$57,500 ",cis white woman,8,Los Angeles,"Copyediting all articles and making sure they adhere to style and formatting guidelines, running the small team of editors we have, working to fix our editing process structurally, helping with coverage, writing where needed",
258,Senior News Writer,Hearst Magazines,"50,000",Cis white male,3,Los Angeles,"Write long-format, digital entertainment news stories primarily for Youtube. (I also run their social media accounts but that is not part of my job title, compensation)",Production Assistant - E! News - $38000
295,Producer,KCRW,"$66,000 ",cis white male,17,Los Angeles,"Produce weekly show. Generate segment ideas, book guests, write scripts, edit audio and mix segments. Report news spots and features. Oversee blog, social media and newsletter.","$58,000 as an assistant producer for a national radio show"
300,Desk Assitant,KTLA,$15/hour,cis female,2,Los Angeles,"Organize daily field drives and retrieves file videos
Use FTP system to send/receive video files from the field
Makes beat checks of police and fire departments
Log/transcribe daily video feeds
Answers viewer phone calls, taking stories from viewers
Checks for possible stories via all social media channels
Checks email for possible stories and upcoming news events
Listens to viewers complaints; accepts criticism in an even handed manner; and offers suggestions or answers as appropriate
Watch and log daily competition newscasts",
760,Reporter,LA Times,"89,250",Cishet White Man,9,Los Angeles,Report breaking news+enterprise (mostly enterprise),Got a 5% raise once we got our union contract
319,Audience Engagement Editor,Los Angeles Times,"$68,000 ",cis black woman,2,Los Angeles,Managing social media accounts,
318,Reporter,Los Angeles Times,"$85,000 ",Cis white female,8,Los Angeles,Daily beat reporting,
339,Writer,Meredith,"$64,000 ",cis MOC,3,Los Angeles,"-Write daily news stories
-Report breaking news
-Write features for both online and print
-Be available for podcast or moderator opportunities","$54K->$58K->$61K within a 2+ year duration at BuzzFeed News (plus a $1K bonus one year, and a $250 bonus the next)"
