1,Timestamp,TITLE,COMPANY,SALARY,GENDER IDENTITY / ETHNICITY,YEARS OF EXPERIENCE,LOCATION,JOB DUTIES,PREV SALARIES / TITLES/ ETC,salary_clean,flag,exp_clean
761,11/13/19 22:55,Reporter/editor,CBC News,"60,000",Cis bi white woman,5,Canada,Writing and editing stories.,,"60,000",,5
762,11/13/19 22:55,Reporter,NBC News,"$65,000 ",Cis WOC,5,NYC,"Breaking news coverage/newsgathering, social forensics/verification/osint, write stories for NBCNews.com, contribute editorial/production to Today Show/Nightly News/MSNBC etc.","Researcher: $18/hr plus overtime; Assignment Editor: $55,000 with yearly 3% increases","$65,000 ",,5
763,11/13/19 23:03,Reporter,Sound Publishing,"$30,000 ",Cis white male,5,Western Washington,"Write stories, take photos",,"$30,000 ",,5
764,11/13/19 23:05,Reporter,HuffPost,"$58,000 ",Cis woman/SA,4,"Washington, D.C.",Pitch and report on daily stories about national breaking news and politics,"(42,000) News Associate in Chicago","$58,000 ",,4
765,11/13/19 23:05,Reporter,Las Vegas Review-Journal,"41,600",queer white woman,,Las Vegas,reporter,,"41,600",,
766,11/13/19 23:06,Reporter,CNHI,"$33,000 ",cis white female,2,would identify me,Daily news reporter covering my specific towns,"Reporter at a weekly started at $26,000. After 9 months they moved me and gave me a raise to $28,000, and another raise to $30,500 just before I took my current position with a daily.","$33,000 ",,2
767,11/13/19 23:12,Staff writer,Charleston City Paper,"$27,500 ",Gay Black/Hispanic male,,Charleston,"Cover all relevant news, politics, and current events across South Carolina",,"$27,500 ",,
768,11/13/19 23:12,Reporter,Bay Area News Group,"$39,500 ",Cis male white,4,SF Bay Area,Local government and news reporter/photographer,$35000 / Community reporter,"$39,500 ",,4
769,11/13/19 23:18,Production Associate,CBS News,"$36,000 ",cis hispanic female,5,NYC,"Organize footage, book locations, pretty much help the producer with whatever they want","PA at local station (almost $17/hr), news associate ($15/hr), intern ($10/hr)","$36,000 ",,5
770,11/13/19 23:21,Photo Editor,The New York Times,$127k,African American Cis Male,3,New York City,"Assigning photographers, producing visuals for stories and working with photographers to create more visually driven stories. Also working with some video along the way.","$95k - Photo Editor - The Washington Post ($10k signing bonus) 
$85k - Sr Photo Editor - ESPN",127000,,3
771,11/13/19 23:34,editorial assistant,refinery29,"$45,000 ",cis black woman,1,nyc,"building articles, writing SEO posts, 1-2 news blogs a day, 2-4 interviews a month",,"$45,000 ",,1
772,11/13/19 23:35,Digital Content Specialist,Gray Television,"$22,600 yr",cis white male,8,,,,22600,,8
773,11/13/19 23:39,Production Assistant,NJTV News,$18.75/hour,,2,NJ,"Pitch and produce TV story elements, work on social media, write digital copy",,,x,2
774,11/13/19 23:40,Editorial Assistant,Hearst,"$38,000+ OT ($33,00 after tax)",cis black femaile,1.5,New York,"Daily news pitches/writing, SEO writing across verticles, feature writing/pitching, administrative duties (freelance contracts and invoices, expenses, freelancer CMS training)",,38000,,1.5
775,11/13/19 23:45,Reporter,New York Times,"$109,000 ",cis white woman,8,NYC,political/national reporting,,"$109,000 ",,8
776,11/13/19 23:54,Sports anchor/reporter,local tv station,"$25,000 ",female,1,North Texas/southern oklahoma,cover local HS and college teams on a weekly basis (VOSOT previews) then attend all games possible. 5+ live shots each Friday night. Anchor weekend shows.,,"$25,000 ",,1
777,11/14/19 0:02,Photojournalist,Gannett,"$68,000 ",Hispanic,41,New York,Editorial Stills and Video photography,,"$68,000 ",,41
778,11/14/19 0:07,"34,500",amNewYork(Schneps Media),"34,500",Cis white/latina female,2,"Brooklyn, New York",Write and take photographs for amNewYork and The Villager,Previously a freelancer in NYC,"34,500",,2
779,11/14/19 0:19,Producer,The Atlantic,"$80,000 ","cis, female, Asian",7,Washington D.C.,"Ideate, report, produce, and execute live journalism; project management, cross-functional collaboration w/logistics+operations, audience development, design and marketing, PR and biz dev.","Associate Producer (72K), Assistant Producer (57.5K)","$80,000 ",,7
780,11/14/19 0:29,Investigative Reporter,NPR Affiliate,61800,,9,Southern California,,,61800,,9
781,11/14/19 0:32,News Reporter,"Guam Pacific Daily News, USA TODAY Network","35,360.00",Woman/South Asian,2,Guam,"Report on military, business, tourism, breaking news and whatever else comes up.",,"35,360.00",,2
782,11/14/19 0:36,Photographer,Los Angeles Times,"$115,000 ",Male/white,21,Los Angeles,Staff photojournalist,,"$115,000 ",,21
783,11/14/19 0:36,Graphic Designer and Marketing Coordinator,Kansas Nonprofit,"35,000",cis white female,0,Kansas City metro,"Design all socal media assets, posters, other brand assets & write social media copy, blogs, brand messages and more",This is my first job out of college so I just accepted the salary without negotiating,"35,000",,0
784,11/14/19 0:56,Managing Editor,Independent News Site,"$55,000 ",White Cis Woman,10,Remote,,,"$55,000 ",,10
785,11/14/19 1:02,Sports reporter,Gannett,"$35,000 ",Male / White,5,U.S. Gulf Coast,"Content Production (articles, photos, videos), Optimization (SEO, Assets, Crops, etc.), Editing, Social Media Management (5 corporate accounts, 1 personal), Section Budgeting, Community Outreach Projects","$33,500 ","$35,000 ",,5
786,11/14/19 2:15,Photojournalist,College Student Newspaper,0,Cis male asian,3,,Photo,,0,,3
787,11/14/19 2:22,Reporter,TorStar,"$46,000 (CAD)",Female POC,5,Edmonton,"report/write daily news and enterprise, oversee analytics","$55,000 at CBC, reporter/ cover daily news for TV, radio and web. Freelancing before that for $70 for a 600 or longer piece and $40 for a 300 - 500 piece.",,x,5
788,11/14/19 2:38,Staff Editor,The New York Times,"$83,000 ",Female / White,10,Hong Kong,,,"$83,000 ",,10
789,11/14/19 2:57,Photojournalist,"Hearst, San Francisco Chronicle","65,000","Female, Straight, Mostly White",5,San Francisco,Photographing everything,,"65,000",,5
790,11/14/19 3:04,sports anchor/reporter,lockwood,"25,000",Cis-het white female,1,n/a,report on local HS and college teams throughout the week (VOSOT previews) film any important game. 5+ live shots on friday nights. anchor the weekend shows,intern for an NHL team and an MLS team. Also interned for a regional sports network and a local tv station in my home state. all unpaid.,"25,000",,1
791,11/14/19 5:17,Shareholder Relations,ABC News,"100,000 + 25% bonus",CIS WHITE MALE,25,Little St James,Protecting shareholder interests and aligning editorial input,Assistant to Jeff Epstein,100000,,25
792,11/14/19 3:22,Local reporter in southeast Wisconsin,Lee Enterprises,"$32,000 ",White Male,2,"Racine, Wisconsin",,"First full-time job, but most of the reporters with less than 10 years experience make about the same","$32,000 ",,2
793,11/14/19 3:57,Digital Producer I,Gannett/USA Today,"$16.25/hr or $33,800",cis white female,2,"Phoenix, Arizona","Update multiple website homepages, write SEO friendly headlines, look for opportunities to write stories based on search trends, post to multiple social media accounts, edit videos, put together visually compelling digital assets for enterprise projects, package/optimize stories for web and social, send push alerts, help sites with breaking news situations, etc.",Interned for $10/hr through DJNF program,33800,,2
794,11/14/19 4:28,Africa Business editor,Bloomberg News,"$77,000 ",cis male,15,South Africa,,,"$77,000 ",,15
795,11/14/19 4:57,Reporter,Gannett,"$38,500 ",White female,2,Gulf Coast FL,Beat reporter,Hired as intern for $12/hr,"$38,500 ",,2
796,11/14/19 5:10,Contributor / writer / Photographer,Future,£200 per submission in photos,Cis white male.,2,UK,Covering events / feature writing,None in relevant media background.,,x,2
797,11/14/19 5:57,Journalist,France 24,"34,000 euros/year","Female, caucasian",25,Paris,,,,x,25
798,11/14/19 6:18,Staff Writer,The Washington Post,116000,cis white male,11,"Washington, DC",covering the news,,116000,,11
799,11/14/19 6:19,Reporter,Keene Sentinel,$12/hr,White male,2,New Hampshire,,"$33,500/yr, reporter at the Daily Gazette of Schenectady",,x,2
800,11/14/19 6:30,Reporter,Gatehouse Media,45000,Cis female / white,10,Pennsylvania,Beat reporting,First reporting job made <$25K,45000,,10
801,11/14/19 6:38,Video Producer,Wirecutter,"75,000","Male, White",8,"New York, NY","Created Motion Graphics Package, Created Project and Data Workflow, Pitch Videos, Edit, & Shoot Camera","50,000 at Vox as a Motion Graphics Director, 70,000 at New Yorker as Video Producer, 90,000 as an Associate Producer at MTV, 3,000 a week at Thrillist (contract) 50,000 at Mustache Agency as Producer","75,000",,8
802,11/14/19 6:45,Reporter,Weekly business journal,41000,White female,17,Finger lakes ny,"I have about a dozen beats, all hyper local that include the economy, nonprofits, manufacturing, diversity etc. Also assigned several off-beat stories for special sections.","Editorial assistant, $33000 after 15 yrs",41000,,17
803,11/14/19 7:38,Reporter,Gannett,"$36,000 ",Cis white female,2.5,Michigan,"Breaking news, courts, criminal justice, social media, homepage management, push alerts, monitor Facebook comments/messages",$33K as a reporter in Illinois,"$36,000 ",,2.5
804,11/14/19 7:39,Production Assistant,ATN,62000,White male,2,"New York, New York","-Support head of news division by sporadically acting as a Human ottoman
-Procure exotic ‘packages’ for the co-COO
-Cleaned up pee in CEOs office","-125,000 investment banking analyst
-HBS",62000,,2
805,11/14/19 7:47,Television News Producer,Scripps,$15.23/hr.,Female/Hispanic,3,"Corpus Christi, TX","Creating rundown, writing scripts, formatting on-air stories, additional digital media duties",Associate Producer - $10/hr.,,x,3
806,11/14/19 7:49,Digital Manager Editor,PAPER Magazine,"70,000",Cis White Gay Male,7,NYC,Responsible for all things digital (web + social),"Digital Managing Editor at OUT, Lead Fashion Editor at Bullett","70,000",,7
807,11/14/19 7:56,Staff Writer,Refinery29,"60,000",Hispanic,4,New York City,"writing a mix of short news hits, features, service pieces, around 2 stories a day.",,"60,000",,4
808,11/14/19 8:01,Multiplatform editor,The Washington Post,"$65,000 ",Male/Hispanic,4.5,"Washington, D.C.",Building app edition and curating story files,">$35,000/Freelancer","$65,000 ",,4.5
809,11/14/19 8:04,Reporter,Bloomberg,"$80,000 + $5,000 bonus",Female/White,5,NYC,Write stories for terminal customers,,80000,x,5
810,11/14/19 8:11,Multiplatform editor,Boston Globe,"$84,000 ",Cis white woman,5,"Boston, MA","Copy editing, headline writing, web production (adding photos, related links, etc), social media, newsletters, push alerts, some webpage layout. My job is on the express desk (our breaking news operation), so it’s more of a hybrid role than the folks on the print side.","Copy editor (print only), max $71,000 with 3 years’ experience","$84,000 ",,5
811,11/14/19 8:13,Staff editor,New York Times,"$125,000 ","Male, white",20,New York,Assigning and editing opinion articles,"Opinion editor, Guardian (also about $120,000)","$125,000 ",,20
812,11/14/19 8:18,Reporter,Lee Enterprises,"34,000",Cis white female het,1,"Munster, IN","Monitoring traffic and weather reports
Analyzing crime logs, police records and court documents
Writing briefs, daily and enterprise stories",,"34,000",,1
813,11/14/19 8:19,Online Editor,GateHouse,"$29,500 ",White male,8,Midwest,"Posting stories online/on social media, reporting, photography, copy editing for multiple papers",Copy editor,"$29,500 ",,8
814,11/14/19 8:23,Freelance Journalist,The Guardian,"$25,000 ",cis white male,5,"New York, NY","Contribute on average one feature, independent reported story per week, 40-50 so far in 2019",,"$25,000 ",,5
815,11/14/19 8:40,Producer,Marvel Entertainment,70000,White male,10,Los Angeles,,,70000,,10
816,11/14/19 8:46,Correspondent,NYT,"129,000",CIS POC Female,15,,,,"129,000",,15
817,11/14/19 8:47,Beauty Assistant,Hearst,"$32,000 + OT",Cis Black Female,2,"New York, NY","admin, writing for print and digital, video, oversee interns",,32000,,2
818,11/14/19 8:54,Senior Writer/Team Leader,"Too small to name, completely remote company","$54,080 plus monthly page view performance bonus",Black woman,5,New York City/remote,"Write 4-5 articles a day, manage a team of writers, manage several team meetings for writers, conduct interviews, and cover events","When I was a writer my salary was $41,000 and later I negotiated for a 6% raise. I started in my current role at $52,000 then I negotiated again.",54080,,5
819,11/14/19 8:56,Reporter,Quartz,"85,000",White female straight,10,New York,,,"85,000",,10
820,11/14/19 9:04,Reporter,NPR,"135,000",Woman/POC,10,DC,Beat reporter covering stories for radio and digital,Previous job as an editor for a broadcast news network paid $140K,"135,000",,10
821,11/14/19 9:04,Social Media Specialist,Think Tank,"58,800",Woman / African American,10,"Washington, DC","Everything media management - social media, digital toolkits, shareholder and corporate communications, strategic planning and marketing - all the goods.","PR Assistant ($40k), Marketing Associate ($48k)","58,800",,10
822,11/14/19 9:06,Coordinator,Penguin Random House,"41,000",White female,6,Canada,,Intern (unpaid),"41,000",,6
823,11/14/19 9:17,Senior Reporter,POLITICO,"$122,000 ",White,15,,"Features, analysis news",,"$122,000 ",,15
824,11/14/19 9:31,Reporter,The Philadelphia Inquirer,"~53,000",WoC,2,Philadelphia,"Reporting, writing, etc.",,,x,2
825,11/14/19 9:32,Journalism Teacher,High School,"$56,000 ","Male, White",7,"Boston, MA",Teaching high students how to produce media and broadcasting content.,"News Photographer, $65,000","$56,000 ",,7
826,11/14/19 9:32,Editor,,"$41,000 ",White female,9,Ohio,Write two stories/week and edit weekly newspaper,"Full-time reporter at $20,000/yr","$41,000 ",,9
827,11/14/19 9:39,Editor in Chief,Propublica,"$395,000 (plus 57,000 additional compensation)",M/W,,NYC,run organization,,395500,,
828,11/14/19 9:40,senior reporter,ProPublica,"$230,504 (plus $52,000 in additional compensation)",M/W,,NYC,writing,,230504,,
829,11/14/19 9:46,Editor,GateHouse Media,"$57,000 ","Cis female, white",10,Midwest,"- Conceptualize, plan, write for & edit two publications (one annual, one biannual)
- Plan, assign & edit advertorial stories for three publications (two monthly, one quarterly)
- Pitch, sell, write & project manage custom publications (varies year over year)
- Manage website and all social media for one of the above publications","Started position three years ago at $55,000","$57,000 ",,10
830,11/14/19 9:51,Associate Producer,NPR affiliate,"$45,000 ",cis white female,3,Boston,"Produce a weekly two-part local news program from start to finish. Duties include but not limited to: Generating ideas for segments, booking, social media, managing interns, writing scripts, pulling archival tape for interviews, writing promos, filing invoices for regular contributors and writing show weekly newsletter.",44k as a contract news assistant at NPR National.,"$45,000 ",,3
831,11/14/19 9:52,product management fellow,Atlantic Media/The Atlantic,"$35,000 ",cis white woman,0,"Washington, DC","QA, project management, customer support, metrics reporting",intern before this,"$35,000 ",,0
832,11/14/19 9:59,Editor,Hearst,"45,900",Cis white/Hispanic female,5,Connecticut,,,"45,900",,5
833,11/14/19 9:59,Marketing Manager,Conde Nast,"90,000",Female / White,5,New York,Pre-sale marketing,,"90,000",,5
834,11/14/19 10:00,Senior Editor,Bustle Digital Group,"82,500",Cis white female,6,New York,,,"82,500",,6
835,11/14/19 10:07,Staff Writer,Conde Nast,80000,cis white male,6,NYC,,,80000,,6
836,11/14/19 10:11,Producer,Cheddar,"60,000",Bi white female,2,NYC,"Pitch, write, edit longform social videos","hired as production assistant at 45k; raise to 50k, promotion to 60k","60,000",,2
837,11/14/19 10:12,News Assistant,The New York Times,"$56,000 ",Cis white male,1,NYC,"Answer phones, social media, scheduling, room booking, catering, training reporters/editors in new skills, helping editors/reporters with questions, some reporting/writing","Editorial fellow, $10/hour","$56,000 ",,1
838,11/14/19 10:13,Producer,Cheddar,"$65,000 ",CIS White Female,3.5,New York City,"Pitch, write, shoot, edit longform social video (YouTube and Facebook)",,"$65,000 ",,3.5
839,11/14/19 10:16,Content Director,,"68,000",cis white female,10,"Nashville, TN","managing editor of three periodicals + websites, manager of content team for add'l pubs",,"68,000",,10
840,11/14/19 10:17,Editor / Animator,Finishing House,"$105,000 ",Cis White Male,8,Washington DC,"Editor, Motion GFX, Graphic Design, Finishing",,"$105,000 ",,8
841,11/14/19 10:18,"Reporter, multi-media journalist",Gatehouse Media - Wicked Local,"$30,000 ",cis female,6,Greater Boston,"Report and write stories, work on graphics, take photos, and do multi-media videos and keep a strong social media presence daily working for a paper in a suburb of Boston.","$48,000, editor, elsewhere","$30,000 ",,6
842,11/14/19 10:20,Enterprise reporter,Gannett,"$38,250 ",Cis white female,4,"Mid-sized, affordable midwestern city",,,"$38,250 ",,4
843,11/14/19 10:21,Senior Editor,NYT,"125,000",poc cis woman,8,NYC,"commission, assign and edit pieces, pitch stories","Online mag:
blog writing intern, unpaid one semester and paid second semester
writer (full-time independent contractor), 32k
staff writer/editor/podcasting (over the course of 5+ years), ~39k-82k","125,000",,8
844,11/14/19 10:22,Audience Engagement Editor,Los Angeles Times,"64,000",Cis Latina,2,Los Angeles,,,"64,000",,2
845,11/14/19 10:25,Senior Staff Writer,Trade Publication,"$50,000 ",Cis White Gay Male,8,Greater Philadelphia Area,"Produce short-form web and print content, write one heavily researched cover story (3000+ words) per month, provide on-the-ground conference coverage as needed (typically 3-5 conferences per year)","Started as a staff reporter making $38,000/year. Promoted to staff writer with raise to $43,000/year. Current title and rate of pay after being with the company for 7 years.","$50,000 ",,8
846,11/14/19 10:29,Associate Producer,MSNBC,"60,000",White Male,8,NYC,,,"60,000",,8
847,11/14/19 10:29,Editorial Assistant,Nonprofit news outlet,"62,000",South Asian,1,New York,,Publicity Assistant (for a year),"62,000",,1
848,11/14/19 10:31,Assistant editor,Hearst,$25/hour plus overtime + freelance work on the side,"Cis, female, Latina",3,"New York, New York","Write articles, update old ones @ Hearst. Report and write stories for freelance.","Digital reporter - $14K
Editorial Associate - $40K",,x,3
849,11/14/19 10:32,Senior Producer,Bloomberg,"$115,000 ",Male,11,NYC,"Pitch, research, interview, write, shoot, edit medium-length documentary pieces","100k as a producer, 83k as producer, 90k as producer (basically producer all the way down)","$115,000 ",,11
850,11/14/19 10:34,staff writer,the washington post,"77,000",white woman,6,DC,"reporting, writing, aggregation",,"77,000",,6
851,11/14/19 10:41,Editorial Assistant,Refinery29,"$50,700 ",queer woman/white,2,NY,"edit daily column, 1-2 news stories/day, 1-2 longer stories/month","freelance writer 3 years, FT writer 1 year","$50,700 ",,2
852,11/14/19 10:42,Associate Editor,Bustle Digital Group,"$60,000 ",cis het white male,2.5,New York City,"Editing staff writers and interns, managing editorial calendar, reporting and writing posts","Started at $48,000 as staff reporter","$60,000 ",,2.5
853,11/14/19 10:45,Staff Editor - Photo,The New York Times,"$130,000 + $2,000 bonus annually (most years)",cis white male,8,New York,"Assign photographers, produce stories, plan coverage of major news events","Associate Photo Editor $51,000/yr, Photo Editor $40,000",130000,,8
854,11/14/19 10:45,editor in chief,nebraska daily,140000,bisexual female,8,nebraska,,,140000,,8
855,11/14/19 10:47,Staff photographer,Reuters,105000,Male/Caucasian,20,New York City,Create visuals,,105000,,20
856,11/14/19 10:50,Associate Photo Editor,Wirecutter/NYT,"58,000",cis white male,3,New York City,"Photograph original content, retouch, coordinate shoot schedules with writers and editors, maintain studio space, produce and style original shoots, handling rush content from editors and processing images from freelancers and writers, selecting stock/product imagery","$200-$300 a day as freelance assistant / photo assistant - various
$250 a day as freelance assistant editor - Amazon","58,000",,3
857,11/14/19 10:51,Motion Graphics designer,Self Employed,"$110,00/yr",Male,18,"Chevy Chase, Maryland, USA",2D and 3D motion graphics design for TV and web,"Started around 26k/yr, last full time salary was approx 90k plus Health Ins and 3 weeks vacation.",110000,,18
858,11/14/19 10:53,Senior Reporter,Adams Publishing Group,"$21,840 ",Male/Caucasion,5,"Circleville, Ohio","General Reporting, community editor","staff reporter, 20,800","$21,840 ",,5
859,11/14/19 10:53,Senior Editor,Refinery29,"77,000",cis white female,8,NYC,"assign and edit news and features (4-8 stories per day), write 2-4 features per month, run editorial packages, manage staff writers, attend relevant industry events, and much, much more",started as a staff writer making $50k,"77,000",,8
860,11/14/19 10:56,Graphics Reporter,Washington Post,86000,cis-het white woman,4,"Washington, DC","data journalism, graphics, reporting",Started at $80K. Found out — and reported — that I was grossly underpaid. Been slowly working my way up since. Previous fellowship at $40K.,86000,,4
861,11/14/19 10:57,Reporter,Masthead Maine,"$56,000 ",White Cis Male,10,Portland Maine,Report and write daily news stories,,"$56,000 ",,10
862,11/14/19 10:58,Staff writer,The Hill newspaper,"$58,000 ",White cis female,,"Washington, D.C.",,,"$58,000 ",,
863,11/14/19 10:59,Senior Correspondent,Reuters,"$130,000 ",Male / Asian,5,Latin America,Investigations,Freelance,"$130,000 ",,5
864,11/14/19 11:02,Assistant Producer,NPR,"$70,000 ",White cis-het male,3,"Washington, DC",Manage social media accounts for a vertical; audience engagement work; produce digital stories for web; write for newsletter; occasionally write/report web stories,"Prev. job as social producer at small political newspaper: $50,000 starting salary; raised to $55,000
Began NPR job at $65,000","$70,000 ",,3
865,11/14/19 11:07,Writer,CNN,"88,000",White cis male,5,New York,"Writer, segment producer, occasional field producer for breaking news and special events",,"88,000",,5
866,11/14/19 11:08,Reporter,NPR Affiliate,"$52,500 ",white female,5,Baltimore,report breaking news and enterprise story for radio and web,"temp reporter at NPR, $70,000
temp reporter at WAMU, $51,000
temp producer at NPR, $45,000
intern at WNYC, $12 a freakin day (they have since begun to pay interns)","$52,500 ",,5
867,11/14/19 11:08,Reporter,New York Times,"$95,000 ",WOC,4,New York,"Report + write news, features and profiles",,"$95,000 ",,4
868,11/14/19 11:09,Reporter,POLITICO,"67,000",white male,12,"Washington, D.C.","Reporting, writing","reporter for 12 years, started at $33,000, then $50k, then $60k before this job.","67,000",,12
869,11/14/19 11:09,Photographer/Videographer,Gannett,"$21.37/Hr $44,449.60/Yr",Male/White,17,New York,"Photograph assignments, edit & publish photos/galleries, shoot, edit & publish videos.",,44449,,17
870,11/14/19 11:12,Reporter,Wall Street Journal,"$123,000 ",White female,20,NYC,"Reporting, writing, some video work, plus the unacknowledged stuff like mentoring younger reporters",,"$123,000 ",,20
871,11/14/19 11:12,Editor,Bloomberg News,"$93,000 ",CIS male POC,6,Hong Kong,"Report, edit, assign business news with focus on companies.","Reporter, ranged from $51,000-$60,000. Intern $13.50/hour for 10 hour days (no overtime)","$93,000 ",,6
872,11/14/19 11:17,Advertising Coordinator,Hearst,"38,000 after taxes",White female,2,NY,"assist 3 Ad sales directors with sales tasks, travel, meeting bookings, etc.",,,x,2
873,11/14/19 11:18,Markets reporter/editor,Reed Business Information (B2B publication),"78,000",Cis white female,5,,,,"78,000",,5
874,11/14/19 11:18,engagement editor,,"$75,000 ","queer/nonbinary, white",3,"Washington, D.C.",manage/program social accounts for national news org; homepage; push alerts; some editing for digital stories; some reporting,"$45,000 as a temp doing the same job on the same team; previously internships/in college","$75,000 ",,3
875,11/14/19 11:18,Editor in Chief,A Chinese Digital News Outlet,"$100,000 after tax",Chinese Male,10,Beijing,"Managing team, editing, and writing",,,x,10
876,11/14/19 11:21,Assistant Managing Editor,Simon and Schuster,45000,cis white female,5,"New York, NY",assist managing editor and oversee production processes from manuscript acquisition to finished book,,45000,,5
877,11/14/19 11:22,Photo Director,,"147,000",F / Central Asian,22,New York,,,"147,000",,22
878,11/14/19 11:26,Associate Director Brand Marketing,Condé Nast,"$90,000 ",White woman,6,"New York, NY",Ideating / creating program proposals for potential advertisers across multiple brands,Client side marketing ($65k-$115k),"$90,000 ",,6
879,11/14/19 11:27,Editor,The New York Times,"$120,000 ",Cis male/non-white,8,New York City,Writing/Editing/Production,,"$120,000 ",,8
880,11/14/19 11:27,Writer/reporter,Bloomberg Law / Bloomberg BNA,"$95,000 ","cis male, white",15,remote U.S.,writing/reporting on government and legal news,"reporter/editor for corporate finance news service $65,000; reporter/editor for local newspaper $38,000","$95,000 ",,15
881,11/14/19 11:28,Staff Editor,The Wall Street Journal,"$116,000 ",Cis white/Asian woman,13,New York,Assign and edit all articles in a section.,"Digital Editor at Conde Nast ($90k), Digital Editor at Forbes ($68k)","$116,000 ",,13
882,11/14/19 11:31,Associate Producer,NowThis,"53,500","White, cis, female",4,New York,"Studio Producing, Videography, Coordinating/Scheduling, Equipment management",,"53,500",,4
883,11/14/19 11:33,Reporter,American City Business Journals,"$45,000 ",cis white female,3,Kansas City,,,"$45,000 ",,3
884,11/14/19 11:33,Assistant Editor,Penguin Random House,"43,000",Cis white woman,6,NYC,,,"43,000",,6
885,11/14/19 11:34,Reporter,Newspaper,"$34,000 ",cis white/Latina,1,"Pikes Peak Region, Colorado","Report and write 2-4 stories/week, take photos, some social media & webbing",,"$34,000 ",,1
886,11/14/19 11:37,Reporter,NBC News,"85,000",still one of the only black people,5.5,New York,"daily reporting, enterprise","75K (reporter), 49K (reporter), 37K (reporter) 29K (reporter)","85,000",,5.5
887,11/14/19 11:40,Digital Producer,Gannett,"35,000",Female/ Caucasian,1,NJ,,,"35,000",,1
888,11/14/19 11:42,Staff Writer,alt weekly,"$40,000 ",cis white male,24,West Coast,"Feature writing, blogging, social media sharing","alt weekly editor ($42,000), think tank journalist ($50,000), alt weekly staff writer ($27,000)","$40,000 ",,24
889,11/14/19 11:46,Senior Art Director,TIME,"$102,000 (starting 2014)","straight cis male, chinese-american",20,New York,"editorial print design (everything except cover), illustrator, hire and art direct freelancer, animated instagram stories","prev HuffPost ($90k senior designer), Boston Globe (80K features design supervisor), Chicago Tribune 65K, San Jose Mercury News 80k, OC Register 45k",102000,,20
890,11/14/19 11:46,Editorial Producer (booker),ABC News,"77,000",F POC,4,NYC,"Book guests for national news, develop long-term stories and relationships",,"77,000",,4
891,11/14/19 11:46,Senior editor,Nonprofit news outlet,95000,Cis white male,10,East coast,"Enterprise reporting, investigations, breaking news, events, multimedia",Started at $28k a decade ago,95000,,10
892,11/14/19 11:49,Reporter,Brooklyn Eagle,"57,000",cis white male,2,Brooklyn,writing multiple stories per day as well as long form pieces covering the borough of Brooklyn,reporter at other NYC publication,"57,000",,2
